file_path	sub_id	cohort	gait_event	side	ref	pred
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	L	91.0	90.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	L	240.0	239.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	L	363.0	364.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	L	526.0	525.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	L	663.0	664.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	L	784.0	783.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	L	917.0	918.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	L		1056.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	FC	L	192.0	193.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	FC	L	319.0	318.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	FC	L	472.0	472.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	FC	L	624.0	622.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	FC	L	745.0	742.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	FC	L	867.0	866.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	FC	L	1030.0	1030.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	FC	L		42.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	R	0.0	8.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	R	163.0	165.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	R	292.0	292.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	R	442.0	442.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	R	601.0	600.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	R	721.0	720.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	R	841.0	841.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	IC	R	988.0	986.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	FC	R	113.0	111.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	FC	R	255.0	253.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	FC	R	390.0	388.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	FC	R	555.0	546.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	FC	R	684.0	679.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	FC	R	807.0	789.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00492005-00493063.npy	sub-1011	HA	FC	R	947.0	937.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	L	108.0	108.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	L	212.0	214.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	L	441.0	442.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	L	613.0	613.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	L	732.0	732.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	L	844.0	845.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	L	957.0	957.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	L	1065.0	1066.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	L	1173.0	1175.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	L	1275.0	1276.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	L	1386.0	1384.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	L	1585.0	1578.0
/home/robbin/Datasets/Mobilise-D/rawdata/MicroWB/sub-1011/sub-1011_coh-HA_ses-TVS_tracksys-imu_motion-00256796-00258788.npy	sub-1011	HA	IC	L	1731.0	1732.0
